"","image","parent_image","efficiency","wastedBytes","userWastedPercent","os","tag_name","size","val"
"1","cassandra","cassandra",98.2414,7471574,2.7842,"debian","latest",132875944,1
"2","java","java",98.9057,9049449,1.7399,"debian","latest",243383959,1
"3","java","java",99.9456,96523,0.0689,"alpine","alpine",51674253,1
"4","mongo","mongo",98.6546,6578732,2.0384,"ubuntu","latest",163992704,1
"5","mysql","mysql",98.5693,8332617,2.0328,"debian","latest",136675781,1
"6","nginx","nginx",98.4295,3646507,6.3431,"debian","latest",50974777,1
"7","nginx","nginx",98.9546,251122,1.5477,"alpine","alpine",8885488,1
"8","3bagels/nginx","nginx",95.9248,1429106,10.0858,"alpine","latest",7882115,1
"9","3stadt/mysql","mysql",98.3254,8458626,3.1006,"debian","latest",135339757,1
"10","aaditiphadtare/cassandra","cassandra",75.7928,136455417,27.6884,"centos","latest",190467894,1
"11","aakashkt/cassandra","cassandra",90.5148,105263026,15.9913,"ubuntu","latest",376749425,1
"12","aallam/mysql","mysql",99.2793,3774556,2.2886,"debian","latest",90775517,1
"13","abema/mongodb","mongo",91.0422,39420846,12.8203,"ubuntu","latest",167910001,1
"14","abema/nginx","nginx",99.849,53928,0.2948,"alpine","latest",8264103,1
"15","actionspec/nginx","nginx",98.4253,3646461,6.3811,"debian","latest",50854531,1
"16","activeeon/cassandra","cassandra",98.2415,7462559,2.7843,"debian","latest",132626974,1
"17","ad681s/cassandra","cassandra",98.4179,8104922,3.0914,"debian","latest",165262899,1
"18","adamalex/cassandra","cassandra",95.2716,42630010,5.6557,"ubuntu","latest",324575546,1
"19","adambrown/java","java",94.4403,35464298,9.9174,"ubuntu","latest",0,1
"20","adinstruments/mongo","mongo",98.9383,4541699,2.0192,"debian","latest",104458488,1
"21","adiwitcoth/nginx","nginx",97.9776,482529,2.8168,"alpine","latest",10124864,1
"22","admatic/cassandra","cassandra",98.1857,7541142,2.8668,"debian","latest",128102978,1
"23","adriftdev/mongodb","mongo",99.2997,4604000,2.7312,"raspbian","latest",168870353,1
"24","advice/mongodb","mongo",95.8603,33918743,6.4604,"ubuntu","latest",276222288,1
"25","aerth/mysql","mysql",94.6443,27232658,9.5842,"ubuntu","latest",117301759,1
"26","afoard/mongo","mongo",92.4854,48017188,9.3503,"ubuntu","latest",167276616,1
"27","agaveapi/mongodb","mongo",95.2614,24420222,7.7553,"ubuntu","latest",203688994,1
"28","ahmadiq/java","java",94.9382,34404524,5.7181,"ubuntu","latest",255864746,1
"29","ahmet2mir/mysql","mysql",96.8995,14686939,8.3185,"debian","latest",85675919,1
"30","aimakun/mysql","mysql",99.3316,3680580,1.848,"debian","latest",111174461,1
"31","airdock/mongodb","mongo",98.653,6393520,3.0222,"debian","latest",131767270,1
"32","airhacks/java","java",95.0391,39242108,19.2607,"centos","latest",140961207,1
"33","ajnouri/nginx","nginx",84.1109,57295147,17.1147,"ubuntu","latest",132933462,1
"34","akaillidan/mongodb","mongo",98.8405,5676129,2.5635,"debian","latest",102671702,1
"35","akhs/cassandra","cassandra",98.9181,15151024,1.7929,"debian","latest",352487271,1
"36","akilli/nginx","nginx",99.1552,138670,1.7198,"alpine","latest",5720390,1
"37","aku1/mysql","mysql",97.7916,14882255,5.6331,"debian","latest",132953180,1
"38","aku1/nginx","nginx",97.2065,13198087,10.91,"debian","latest",95315912,1
"39","alang/nginx","nginx",98.2051,3585412,6.6629,"debian","latest",44670772,1
"40","aleksandrovd/mongo","mongo",99.1296,3580929,2.0374,"debian","latest",95468146,1
"41","alexcheng/cassandra","cassandra",98.2363,7461487,2.7844,"debian","latest",132580111,1
"42","alexlukichev/cassandra","cassandra",99.2095,4456873,1.8514,"debian","latest",174065900,1
"43","aliem/java","java",99.6275,698384,0.6707,"alpine","latest",43000984,1
"44","almasry/mongodb","mongo",98.7141,6887816,2.4551,"debian","latest",152922341,1
"45","almundo/java","java",97.7801,18780978,3.5551,"debian","latest",247413462,1
"46","amazeeio/mongo","mongo",99.9805,56034,0.034,"alpine","latest",69464541,1
"47","amd64/cassandra","cassandra",98.2414,7471574,2.7842,"debian","latest",132875944,1
"48","amd64/mongo","mongo",98.6546,6578732,2.0384,"ubuntu","latest",147656531,1
"49","amd64/mysql","mysql",98.5693,8332617,2.0328,"debian","latest",136675781,1
"50","amd64/nginx","nginx",98.4295,3646507,6.3431,"debian","latest",50974777,1
"51","aminjam/mongodb","mongo",99.2114,4138114,1.1696,"debian","latest",145013765,1
"52","an0t8/nginx","nginx",94.5902,10051671,12.9459,"debian","latest",59854610,1
"53","angrimoz/mongodb","mongo",92.0771,33528734,11.2993,"ubuntu","latest",153979178,1
"54","anthonyamanse/cassandra","cassandra",98.3147,7912518,3.1325,"debian","latest",176424521,1
"55","anvilresearch/nginx","nginx",99.3522,80675,5.4619,"alpine","latest",3081731,1
"56","aolins/cassandra","cassandra",96.1462,17335586,7.2262,"debian","latest",178945578,1
"57","apifocal/java","java",92.816,38385822,9.7561,"ubuntu","latest",187534424,1
"58","aplimouzin/mongodb","mongo",97.1662,12064679,7.5905,"raspbian","latest",136713447,1
"59","appertly/nginx","nginx",96.8938,5719089,7.8118,"debian","latest",58159868,1
"60","apporbit/mysql","mysql",97.9783,13407131,5.8275,"debian","latest",117116717,1
"61","appsdeck/mongo","mongo",90.5875,40280584,13.7852,"ubuntu","latest",156623710,1
"62","appsdeck/mysql","mysql",97.9159,20551314,5.0444,"ubuntu","latest",188704076,1
"63","apptechdev/mysql","mysql",98.5075,8295631,2.13,"debian","latest",127029714,1
"64","aptible/mongodb","mongo",98.5205,7771897,2.5017,"debian","latest",153248487,1
"65","aptible/mysql","mysql",99.2574,6907643,1.1468,"debian","latest",178531089,1
"66","aquaomri/nginx","nginx",98.2575,3500194,6.7017,"debian","latest",44039806,1
"67","architek/nginx","nginx",96.3906,5746109,10.2555,"debian","latest",45295150,1
"68","ardeveloppement/nginx","nginx",98.9603,4010303,4.6288,"debian","latest",88825993,1
"69","argussecurity/cassandra","cassandra",98.6997,9678885,2.0146,"debian","latest",268185368,1
"70","arhea/cassandra","cassandra",97.7452,9775811,3.2567,"debian","latest",149484012,1
"71","arifuse/mongo","mongo",90.5624,44464713,13.3882,"ubuntu","latest",176693883,1
"72","arm64v8/cassandra","cassandra",98.043,7494988,3.105,"debian","latest",122371125,1
"73","arm64v8/nginx","nginx",98.3424,3648127,6.4367,"debian","latest",49672409,1
"74","artemeff/cassandra","cassandra",98.4269,7958046,3.0384,"debian","latest",165139261,1
"75","arvatolille/nginx","nginx",98.2131,3984095,5.5919,"debian","latest",57380238,1
"76","ascendhit/mysql","mysql",98.8494,5276160,2.5894,"debian","latest",112560464,1
"77","asekuro/mysql","mysql",79.6789,196484934,23.9471,"ubuntu","latest",332218365,1
"78","aspvr/mysql","mysql",94.6565,27235297,9.5477,"ubuntu","latest",117556733,1
"79","associated/mysql","mysql",99.0041,5282098,2.085,"debian","latest",129057060,1
"80","asterios/mysql","mysql",97.3004,11051821,3.7802,"debian","latest",121743283,1
"81","asteris/java","java",97.5554,23895735,4.67,"centos","latest",176747295,1
"82","asux/nginx","nginx",98.1939,3601245,6.7105,"debian","latest",44600678,1
"83","atlo/mysql","mysql",98.3533,5656487,3.066,"debian","latest",92172751,1
"84","audris/cassandra","cassandra",98.9755,9813338,1.5382,"debian","latest",329789723,1
"85","austburn/cassandra","cassandra",98.8215,5999298,2.3826,"debian","latest",177350961,1
"86","ausybe/mysql","mysql",98.4767,8301231,2.187,"debian","latest",151941822,1
"87","autopilotpattern/mysql","mysql",95.5703,37601250,10.2016,"debian","latest",169642461,1
"88","autopilotpattern/nginx","nginx",97.7271,5854750,4.6796,"debian","latest",67671130,1
"89","avizia/cassandra","cassandra",96.5532,75051223,5.882,"ubuntu","latest",793959643,1
"90","azukiapp/mysql","mysql",99.389,3725352,1.5872,"debian","latest",123010837,1
"91","babim/mongodb","mongo",89.4462,40645905,12.9413,"debian","latest",144478473,1
"92","babim/nginx","nginx",77.5574,65128142,29.9771,"ubuntu","latest",124298795,1
"93","baffledbear/nginx","nginx",97.8834,16654117,2.8956,"debian","latest",273859668,1
"94","bamx/nginx","nginx",88.2863,5509564,27.8232,"alpine","latest",11231755,1
"95","baricio/mysql","mysql",99.2341,4002529,2.0018,"debian","latest",111416905,1
"96","bartbons/mysql","mysql",98.4827,8300761,2.1772,"debian","latest",150505537,1
"97","bask02451/nginx","nginx",91.2972,52259924,25.5979,"centos","latest",143241710,1
"98","bastion/mysql","mysql",99.7679,437859,0.255,"alpine","latest",53085786,1
"99","bayraktar/cassandra","cassandra",98.4437,7894258,3.0134,"debian","latest",165237541,1
"100","bde2020/cassandra","cassandra",98.7885,6077408,2.4652,"debian","latest",172565303,1
"101","bearstech/java","java",99.3455,4833528,2.2733,"debian","latest",156268085,1
"102","bearstech/nginx","nginx",98.8133,4449917,105.0498,"debian","latest",80822596,1
"103","beevelop/java","java",93.4224,34180176,9.5883,"ubuntu","latest",174495859,1
"104","benclarkwood/cassandra","cassandra",98.2184,9398671,3.1527,"debian","latest",182261625,1
"105","besthappy/nginx","nginx",98.9341,253062,1.5905,"alpine","latest",8773771,1
"106","bfranzen1/mysql","mysql",98.6045,8314353,1.9717,"debian","latest",136049482,1
"107","bholt/cassandra","cassandra",91.74,248923851,17.5134,"debian","latest",663078093,1
"108","bibbox/java","java",99.7527,3361559,0.5242,"debian","latest",457666587,1
"109","bigcheng/mysql","mysql",81.7106,173371894,38.4546,"ubuntu","latest",130634006,1
"110","bigm/mongodb","mongo",85.9711,122094707,28.6364,"ubuntu","latest",188966307,1
"111","bigtruedata/java","java",98.5259,6597294,3.5061,"debian","latest",124221380,1
"112","bigvikinggames/java","java",91.1249,41630277,22.4076,"ubuntu","latest",133791687,1
"113","binsix/mongodb","mongo",70.4278,441209442,53.5841,"centos","latest",375454834,1
"114","bitwarden/nginx","nginx",97.5989,4925028,7.7495,"debian","latest",53343507,1
"115","blacklabelops/nginx","nginx",97.8529,1106230,2.4026,"alpine","latest",18905845,1
"116","blburns/mongo","mongo",99.247,4496405,1.6103,"debian","latest",131420153,1
"117","blkpark/mongodb","mongo",99.2702,4472661,1.5408,"debian","latest",132359964,1
"118","blkpark/mysql","mysql",98.2896,7669718,3.4935,"debian","latest",112878106,1
"119","bluemeric/cassandra","cassandra",88.7852,147601921,14.548,"ubuntu","latest",404087183,1
"120","bnusunny/nginx","nginx",98.2009,3598819,6.6687,"debian","latest",44758379,1
"121","boomtownroi/nginx","nginx",61.9457,147724383,81.6529,"ubuntu","latest",128462074,1
"122","bowery/java","java",89.8895,233158174,18.0233,"ubuntu","latest",713885523,1
"123","bowery/mongo","mongo",100,0,0,"ubuntu","latest",190900239,1
"124","bradegler/mongodb","mongo",95.2798,49441802,5.4616,"ubuntu","latest",364977075,1
"125","brianmorgan/nginx","nginx",87.0211,29400993,31.704,"ubuntu","latest",81933647,1
"126","brickr/mongodb","mongo",99.6425,635398,0.381,"alpine","latest",74767056,1
"127","bridg/java","java",96.1167,28188985,4.9181,"ubuntu","latest",424321510,1
"128","brunohenrique/mongodb","mongo",93.4946,24512055,6.6667,"ubuntu","latest",138461522,1
"129","brzda/mysql","mysql",98.5074,8296245,2.1301,"debian","latest",127030237,1
"130","buddy/mongo","mongo",98.9518,4489123,1.9672,"debian","latest",106181845,1
"131","buddy/mysql","mysql",98.5821,6793438,3.0981,"debian","latest",119807290,1
"132","bzohdy/java","java",99.8146,248997,0.2059,"alpine","latest",84129778,1
"133","c4tech/nginx","nginx",98.1942,3600107,6.7083,"debian","latest",44601290,1
"134","calliope/cassandra","cassandra",87.1242,174903394,22.7609,"ubuntu","latest",393717369,1
"135","calliopedevelopers/cassandra","cassandra",87.1242,174903394,22.7609,"ubuntu","latest",393717369,1
"136","camdenx/java","java",92.9595,72685915,13.4133,"ubuntu","latest",276179793,1
"137","cameronmalek/nginx","nginx",99.7624,157043,0.2916,"alpine","latest",18165731,1
"138","cannin/mongodb","mongo",93.8751,40192520,11.8942,"ubuntu","latest",182008192,1
"139","canopytax/java","java",98.8167,14818832,1.5239,"debian","latest",534477771,1
"140","capaldijo/mysql","mysql",99.287,3896334,2.3617,"debian","latest",91962162,1
"141","caperneoignis/mysql","mysql",98.2877,7686785,3.5075,"debian","latest",112876405,1
"142","caseblocks/mongodb","mongo",93.7316,24536225,12.7333,"ubuntu","latest",142421793,1
"143","castelislogice/mysql","mysql",98.5821,6055957,3.4635,"debian","latest",104844483,1
"144","catapulte/mongodb","mongo",99.0621,5297188,1.8992,"debian","latest",150384108,1
"145","cburki/mongodb","mongo",99.544,3554130,1.1066,"debian","latest",174150903,1
"146","ccistaging/mongo","mongo",98.5679,6580212,2.1973,"ubuntu","latest",147285849,1
"147","ccistaging/mysql","mysql",98.5411,8333078,2.0784,"debian","latest",134027199,1
"148","cdrocker/nginx","nginx",96.3423,7996695,7.5313,"alpine","latest",53146588,1
"149","centerx/nginx","nginx",98.4119,3685798,6.4926,"debian","latest",50696252,1
"150","century/mongodb","mongo",86.8118,22597498,23.1327,"alpine","latest",44864531,1
"151","centurylink/mysql","mysql",92.5551,27205837,18.0382,"ubuntu","latest",115600001,1
"152","chregu/mysql","mysql",73.2286,243417959,70.8693,"ubuntu","latest",173071221,1
"153","chrisgarrett/mongo","mongo",99.8212,637373,0.2784,"alpine","latest",81494431,1
"154","chrishawkins/cassandra","cassandra",94.6045,72390457,10.2103,"ubuntu","latest",527002422,1
"155","christobill/cassandra","cassandra",91.6077,94238801,14.6411,"ubuntu","latest",477572828,1
"156","chromapdx/mongo","mongo",96.3346,13927223,5.5444,"debian","latest",112563834,1
"157","chromko/mongodb","mongo",90.7116,33863093,14.2186,"ubuntu","latest",120615279,1
"158","circleci/java","java",85.1398,206808257,18.7456,"debian","latest",691471956,1
"159","circleci/mongo","mongo",98.6546,6578732,2.0384,"ubuntu","latest",147656531,1
"160","circleci/mysql","mysql",98.569,8333966,2.0331,"debian","latest",136676708,1
"162","citizensadvice/mysql","mysql",98.2272,8276198,2.6026,"debian","latest",124108168,1
"163","cityofsurrey/java","java",99.7284,590631,0.286,"alpine","latest",156332811,1
"164","cityofsurrey/nginx","nginx",99.7078,65003,0.5635,"alpine","latest",6751401,1
"165","claydonkey/mysql","mysql",98.8052,6450293,2.5282,"debian","latest",0,1
"166","cloneme/nginx","nginx",99.2206,3991945,2.0434,"debian","latest",132812866,1
"167","cloudawan/cassandra","cassandra",94.4197,30705658,9.6437,"ubuntu","latest",232536135,1
"168","cloudboost/mongo","mongo",98.478,6442735,2.902,"debian","latest",104896080,1
"169","cloudposse/mysql","mysql",98.2393,8639046,2.5338,"debian","latest",138513177,1
"170","cloudr/mysql","mysql",99.0749,5421598,1.8378,"debian","latest",149671103,1
"171","cmptstks/nginx","nginx",98.1727,3979793,6.8858,"debian","latest",44600632,1
"172","cobiro/nginx","nginx",99.5794,61239,2.1525,"alpine","latest",4048026,1
"173","coco/mongodb","mongo",99.1132,3580929,2.0951,"debian","latest",94269873,1
"174","codemonkeyai/cassandra","cassandra",98.4024,8047271,3.07,"debian","latest",165291364,1
"175","codenvy/mysql","mysql",99.0164,5305114,2.0451,"debian","latest",131284530,1
"176","codingtony/java","java",90.8967,104043252,13.8673,"ubuntu","latest",408596550,1
"177","cogentwebs/mongodb","mongo",98.3415,2182035,1.7398,"alpine","latest",54839840,1
"178","coinpit/cassandra","cassandra",99.3194,4154929,1.6456,"debian","latest",155526241,1
"179","commandeonline/mongo","mongo",98.9527,4441994,1.9753,"debian","latest",104449097,1
"180","committed/java","java",99.5794,3396893,1.0102,"debian","latest",181808386,1
"181","concreteplatform/java","java",98.6856,10343424,1.9158,"debian","latest",231654651,1
"182","conube/mongodb","mongo",99.9468,79378,0.1069,"alpine","latest",31865978,1
"183","convox/mysql","mysql",98.3659,5511537,2.7604,"alpine","latest",61354938,1
"184","conyac/mysql","mysql",82.8448,156058493,17.9692,"ubuntu","latest",277157037,1
"185","corpusops/mongo","mongo",98.3753,9407546,2.186,"ubuntu","latest",194128905,1
"186","covex/mysql","mysql",98.5512,7724560,2.7241,"debian","latest",143613551,1
"187","cpuguy83/mongodb","mongo",85.7578,118951660,30.7062,"ubuntu","latest",249770818,1
"188","criblesoftware/cassandra","cassandra",98.7993,6727996,2.2313,"debian","latest",182387391,1
"189","crossvale/cassandra","cassandra",98.6491,7116525,2.706,"debian","latest",165364654,1
"190","crunding/mysql","mysql",99.377,3814863,1.6365,"debian","latest",122566240,1
"191","cs50/mysql","mysql",98.0917,7447849,3.014,"debian","latest",102683711,1
"192","cxdstepbystep/nginx","nginx",98.4193,3645817,6.4361,"debian","latest",50633761,1
"193","cyberdojofoundation/java","java",99.3396,799557,0.7147,"alpine","latest",77178236,1
"194","d0dic/mysql","mysql",76.8611,121706589,53.9658,"ubuntu","latest",119867673,1
"195","dabansal/cassandra","cassandra",98.2427,7436200,2.7778,"debian","latest",132501846,1
"196","dabsquared/nginx","nginx",98.6592,347534,1.7442,"alpine","latest",10796897,1
"197","damiang/nginx","nginx",98.1897,3602666,6.74,"debian","latest",44519675,1
"198","danmactough/mysql","mysql",99.3959,3717663,1.5742,"debian","latest",123592792,1
"199","darron/nginx","nginx",100,0,0,"ubuntu","latest",307957730,1
"200","darthjson/mysql","mysql",76.4044,99939970,46.6178,"ubuntu","latest",106127196,1
"201","darwin4322/mysql","mysql",94.227,32825582,17.9236,"centos","latest",123787090,1
"202","databench/cassandra","cassandra",98.8408,7964996,1.9921,"debian","latest",199379036,1
"203","datajoint/mysql","mysql",98.3012,8280988,2.476,"debian","latest",136702341,1
"204","datasolvr/cassandra","cassandra",98.8253,6057432,2.3842,"debian","latest",156794044,1
"205","datawiseio/cassandra","cassandra",99.3536,3898811,1.7078,"debian","latest",165882344,1
"206","datenbetrieb/nginx","nginx",98.2548,6817037,4.4506,"debian","latest",116889478,1
"207","davidrueda/cassandra","cassandra",40.4529,1100377054,71.2452,"centos","latest",672524202,1
"208","davidtp1/mongo","mongo",98.9971,4494135,1.8565,"debian","latest",112612372,1
"209","davinbao/java","java",99.9456,96637,0.0689,"alpine","latest",51674663,1
"210","davinbao/nginx","nginx",99.3378,140914,1.017,"alpine","latest",8168473,1
"211","decipherx/mysql","mysql",92.7178,50530799,15.6143,"ubuntu","latest",143483308,1
"212","deeky666/mysql","mysql",94.8471,32098629,6.7824,"ubuntu","latest",189166872,1
"213","deizel/mysql","mysql",99.3991,3674792,1.5625,"debian","latest",123143029,1
"214","dell/mongodb","mongo",92.409,45469077,11.2869,"ubuntu","latest",173126201,1
"215","delopes/mongo","mongo",91.0837,35419872,13.2992,"ubuntu","latest",134183905,1
"216","denvazh/java","java",99.8192,219831,0.2053,"alpine","latest",43384166,1
"217","derdiedasjojo/mongodb","mongo",96.3069,14398663,5.51,"debian","latest",121607063,1
"218","desertbit/nginx","nginx",98.1941,3600913,6.7095,"debian","latest",44602572,1
"219","devbeta/mysql","mysql",74.6785,816742469,37.9581,"centos","latest",689779801,1
"220","devcamaws/cassandra","cassandra",98.243,7436486,2.7771,"debian","latest",132539124,1
"221","devdrops/nginx","nginx",84.1333,30178099,53.1075,"ubuntu","latest",73375190,1
"222","devmtl/mysql","mysql",96.8697,14737512,5.1439,"debian","latest",137897558,1
"223","devries/nginx","nginx",85.6935,38428604,27.2462,"ubuntu","latest",105129744,1
"224","dexec/java","java",99.7292,3498003,0.5835,"debian","latest",432222132,1
"225","dhrp/mysql","mysql",100,0,0,"ubuntu","latest",154047837,1
"226","dictcp/cassandra","cassandra",97.3867,28923550,5.0817,"centos","latest",266963773,1
"227","dillonlin/cassandra","cassandra",99.041,7401883,1.3874,"debian","latest",201844459,1
"228","dnioqfp/cassandra","cassandra",98.7483,7248712,2.1574,"debian","latest",156606417,1
"229","dockenizer/mysql","mysql",99.7112,530455,0.309,"alpine","latest",54474299,1
"230","dockerautomation1/mongo","mongo",99.1194,3580929,2.0728,"debian","latest",95237267,1
"231","dockerframework/mongodb","mongo",91.3999,34073600,12.8102,"ubuntu","latest",133907172,1
"232","dockerize/mongodb","mongo",90.1665,114344501,15.0481,"ubuntu","latest",272856530,1
"233","dockerizedrupal/mysql","mysql",98.5039,8677851,2.4692,"debian","latest",166356601,1
"234","dockershelf/mongo","mongo",99.5522,3502009,1.1743,"debian","latest",150846694,1
"235","dockette/nginx","nginx",98.4542,4327344,6.0839,"debian","latest",77329048,1
"236","docksal/mysql","mysql",97.7443,7458955,3.7145,"debian","latest",82710272,1
