"","image","parent_image","efficiency","wastedBytes","userWastedPercent","os","tag_name","size","val"
"705","rebyn/cassandra","cassandra",98.4389,7913258,3.0203,"debian","latest",165242838,1
"706","redwolf3/java","java",94.2882,39422028,10.6912,"ubuntu","latest",224115414,1
"707","refarchie/nginx","nginx",90.6785,110703624,16.7087,"ubuntu","latest",307896570,1
"708","relevancelab/mongodb","mongo",93.2948,68226673,13.7714,"ubuntu","latest",181571683,1
"709","renothing/nginx","nginx",98.8592,127606,4.5649,"alpine","latest",3808699,1
"710","resouer/cassandra","cassandra",94.2115,42176046,8.9564,"ubuntu","latest",292680543,1
"711","rexsoftware/nginx","nginx",99.2451,69466,3.2924,"alpine","latest",3022331,1
"712","rgrmarketing/nginx","nginx",97.7907,4865615,5.6159,"debian","latest",56175532,1
"713","richardyft/java","java",93.5375,59301661,9.3576,"ubuntu","latest",473342072,1
"714","rinscy/cassandra","cassandra",98.6159,7239166,2.7572,"debian","latest",165261779,1
"715","rithium/cassandra","cassandra",97.4112,29503370,5.5759,"debian","latest",279006047,1
"716","rjain15/mongodb","mongo",90.1221,67061890,24.8953,"ubuntu","latest",197110376,1
"717","rluta/cassandra","cassandra",100,0,0,"centos","latest",467274239,1
"718","roadmunk/mongo","mongo",94.7122,19890082,7.4905,"ubuntu","latest",122371405,1
"719","rockerbox/cassandra","cassandra",95.2473,42569805,5.6816,"ubuntu","latest",320591694,1
"720","romaincottechauffeurprive/mongo","mongo",87.1954,26653087,5.2711,"ubuntu","latest",204251088,1
"721","royjoydeep1/cassandra","cassandra",98.2433,7439207,2.7767,"debian","latest",132634247,1
"722","rstarmer/nginx","nginx",98.2027,3586110,6.6777,"debian","latest",44624121,1
"723","rtcamp/nginx","nginx",81.9548,32049135,55.8639,"ubuntu","latest",67732537,1
"724","rubinlab/mysql","mysql",99.2564,3378898,1.7006,"debian","latest",96871284,1
"725","rupeshrajkarn/cassandra","cassandra",98.2603,10415942,2.3578,"debian","latest",193041751,1
"726","russellluo/mongodb","mongo",92.5609,39000926,8.8905,"ubuntu","latest",172320928,1
"727","rxvallejoc/java","java",99.8602,225139,0.1569,"alpine","latest",52701846,1
"728","ryu2492/mysql","mysql",91.1314,37879458,10.9894,"ubuntu","latest",116066604,1
"729","ryurkov/nginx","nginx",89.0666,27217678,62.4633,"ubuntu","latest",98482455,1
"730","s390x/java","java",98.8219,8995160,1.9346,"debian","latest",223053676,1
"731","s390x/nginx","nginx",98.4152,3647051,6.245,"debian","latest",49209209,1
"732","sacashgit/mongo","mongo",85.7669,48666527,14.4137,"ubuntu","latest",126436089,1
"733","safaksaylam/mongodb","mongo",98.8246,6207882,2.1007,"debian","latest",133418949,1
"734","saisasank001/mysql","mysql",96.0404,14596531,11.1008,"ubuntu","latest",95635959,1
"735","sameersbn/mongodb","mongo",88.66,28563800,65.5758,"ubuntu","latest",82671131,1
"736","samejack/mysql","mysql",70.052,254205658,91.3904,"ubuntu","latest",161415237,1
"737","sammlerio/mongo","mongo",91.3323,32962495,13.1117,"ubuntu","latest",131694137,1
"738","samsulmaarif/mysql","mysql",85.4881,89619154,42.2323,"ubuntu","latest",144864170,1
"739","samuelcstewart/java","java",96.8079,30633686,4.2646,"ubuntu","latest",488813193,1
"740","sapk/java","java",98.2836,3515065,3.5473,"alpine","latest",40825167,1
"741","scaleway/java","java",94.0761,51663804,7.8648,"ubuntu","latest",341745333,1
"742","scalp42/cassandra","cassandra",98.7913,6199327,2.4327,"debian","latest",157114076,1
"743","schmunk42/nginx","nginx",98.4227,2784807,2.9817,"debian","latest",41033317,1
"744","scottabernethy/mongodb","mongo",98.8263,5510100,2.5795,"debian","latest",123229938,1
"745","scullxbones/mongodb","mongo",93.8796,27434930,8.7066,"debian","latest",156013125,1
"746","sdtdensimag/cassandra","cassandra",98.4451,7888978,3.0114,"debian","latest",165236049,1
"747","seleme/mysql","mysql",98.2223,8273004,2.6111,"debian","latest",123940604,1
"748","serfera/mongodb","mongo",88.4916,53770933,21.7594,"ubuntu","latest",162335063,1
"749","sgn0/java","java",99.8955,99065,0.1376,"alpine","latest",54018398,1
"750","shaddock/mysql","mysql",89.5799,69685198,16.6419,"ubuntu","latest",232560343,1
"751","shantanuo/mysql","mysql",97.6848,7918910,5.7092,"debian","latest",90429952,1
"752","shashankkoppar/cassandra","cassandra",98.6806,6401417,2.6467,"debian","latest",171414663,1
"753","shoaibmohammed/mysql","mysql",98.8052,6450293,2.5282,"debian","latest",129333240,1
"754","shorlak/mongo","mongo",99.9749,54510,0.0414,"alpine","latest",53775461,1
"755","sierratecnologia/java","java",94.9936,38841226,6.0809,"ubuntu","latest",451462942,1
"756","sillelien/cassandra","cassandra",99.3385,3935186,1.7245,"debian","latest",165889236,1
"757","simapple/mysql","mysql",75.5346,216021490,50.2515,"ubuntu","latest",138595378,1
"758","skandyla/mongo","mongo",98.7782,6205827,2.2069,"debian","latest",132121911,1
"759","skyscrapers/mysql","mysql",99.3991,3674792,1.5625,"debian","latest",123142497,1
"760","slhdev/cassandra","cassandra",90.6422,102716871,11.8222,"ubuntu","latest",561234989,1
"761","sloppy/nginx","nginx",98.938,4000964,3.7325,"debian","latest",94051942,1
"762","smalllark/java","java",90.999,97189439,17.3326,"ubuntu","latest",285073447,1
"763","smartlab/nginx","nginx",95.8387,1432405,10.3388,"alpine","latest",7887712,1
"764","smartprocure/java","java",96.3669,35586761,4.4443,"ubuntu","latest",495125871,1
"765","smartua/mongodb","mongo",99.5406,3116381,1.3877,"debian","latest",134227341,1
"766","smokserwis/cassandra","cassandra",98.0392,8056253,3.2067,"debian","latest",132762586,1
"767","snakeego/mongodb","mongo",99.9722,109071,0.0458,"alpine","latest",88304357,1
"768","socialtablesops/mysql","mysql",98.2174,8278857,2.6186,"debian","latest",123685203,1
"769","sofianinho/cassandra","cassandra",90.5147,105260302,15.9934,"ubuntu","latest",376176884,1
"770","sofitlabs/java","java",99.9253,706274,0.1552,"debian","latest",271594907,1
"771","softwareplant/mysql","mysql",97.9311,9517507,2.943,"debian","latest",138358157,1
"772","sommereng/mongodb","mongo",98.7693,6121938,2.1901,"debian","latest",128558072,1
"773","songshenzong/mongo","mongo",98.7985,6169157,2.1535,"debian","latest",130406419,1
"774","songshenzong/mysql","mysql",98.5572,7700251,2.7003,"debian","latest",144377812,1
"775","songshenzong/nginx","nginx",98.5577,314868,1.916,"alpine","latest",8290844,1
"776","spakmaro/mongo","mongo",98.7996,6186717,2.1571,"debian","latest",130530997,1
"777","spalmalo/nginx","nginx",98.9631,3407088,5.9094,"debian","latest",71177231,1
"778","sphericaldefence/nginx","nginx",98.416,3656864,6.4415,"debian","latest",50668513,1
"779","spidasoftware/mongodb","mongo",94.7771,27985212,9.0383,"ubuntu","latest",165420616,1
"780","sport1/mysql","mysql",98.6045,8314361,1.9717,"debian","latest",136049897,1
"781","srdc/cassandra","cassandra",88.0895,147331778,17.3274,"ubuntu","latest",433851434,1
"782","srikanthk/mysql","mysql",99.0494,5335396,1.9255,"debian","latest",137832170,1
"783","sscpac/mongo","mongo",99.3199,3103414,1.3252,"alpine","latest",93904983,1
"784","sshejwal/mysql","mysql",98.6278,8306030,1.9352,"debian","latest",137704235,1
"785","stangenberg/java","java",98.8549,2477524,2.3604,"alpine","latest",45445516,1
"786","stanleygu/mongodb","mongo",90.045,73158908,15.3098,"ubuntu","latest",165289561,1
"788","starlkj/mysql","mysql",93.8657,38755623,10.1351,"ubuntu","latest",141526033,1
"789","state/mongodb","mongo",72.3315,495452727,53.9508,"fedora","latest",307112873,1
"790","stefanjacobs123/cassandra","cassandra",98.7949,7062341,2.1137,"debian","latest",153570306,1
"791","stefanofontanelli/cassandra","cassandra",97.384,32178631,4.361,"debian","latest",302156628,1
"792","stickee/nginx","nginx",79.9974,7924419,54.7866,"alpine","latest",8853812,1
"793","stormshield/mongodb","mongo",99.5591,3885060,0.9649,"debian","latest",205665422,1
"794","stratio/mongo","mongo",96.5029,41236151,5.0411,"ubuntu","latest",355650148,1
"795","suboss/cassandra","cassandra",76.4829,302277313,38.572,"centos","latest",313411308,1
"796","suet/mysql","mysql",91.3137,47738949,10.4054,"ubuntu","latest",157022196,1
"797","supportlobby/mysql","mysql",96.4848,21700844,23.8485,"oracle","latest",116988323,1
"798","surenbika/mongo","mongo",93.734,24539703,12.6945,"ubuntu","latest",142508935,1
"799","synopsis/mysql","mysql",98.2199,8278849,2.6144,"debian","latest",123836815,1
"800","synopsis/nginx","nginx",98.1923,3603737,6.7149,"debian","latest",44601902,1
"801","syoya/nginx","nginx",95.6635,1510974,11.9613,"alpine","latest",8031163,1
"802","sysradium/mysql","mysql",99.0178,5281712,2.0283,"debian","latest",131619643,1
"803","szewec/java","java",70.6985,368609882,71.1582,"centos","latest",255767916,1
"804","takeyamajp/mysql","mysql",98.5409,8333775,2.0786,"debian","latest",134027626,1
"805","talklead/nginx","nginx",95.1396,7422251,12.0673,"debian","latest",47281042,1
"806","tamurayoshiya/mysql","mysql",99.2477,3443222,1.2176,"debian","latest",96569000,1
"807","tbaltrushaitis/mongodb","mongo",92.3539,31754318,11.5708,"ubuntu","latest",148048740,1
"808","tcaxias/mongodb","mongo",99.1374,4387822,2.4656,"debian","latest",117520955,1
"809","tcsjh/java","java",95.8447,29066663,5.2382,"ubuntu","latest",246461463,1
"810","techakcent/nginx","nginx",99.4161,58059,4.0981,"alpine","latest",2811178,1
"811","techcto/mongo","mongo",98.5647,6571253,2.2034,"ubuntu","latest",146761030,1
"812","tedneward/java","java",98.1103,24675402,3.2567,"debian","latest",382310381,1
"813","teja0957/cassandra","cassandra",98.2411,7461293,2.7857,"debian","latest",132584641,1
"814","teknologist/mongo","mongo",99.1632,3458859,1.958,"debian","latest",95751830,1
"815","therealajr/mongo","mongo",99.501,3613802,1.2393,"debian","latest",138521330,1
"816","thingsboard/cassandra","cassandra",98.2437,7437930,2.7759,"debian","latest",132570937,1
"817","thinkin/cassandra","cassandra",98.2213,7450484,2.7805,"debian","latest",132576021,1
"818","thinkiq/mysql","mysql",98.2343,12467554,2.2465,"debian","latest",214856840,1
"819","tianon/nginx","nginx",98.9522,3420113,5.8201,"debian","latest",71605546,1
"820","ticketfly/mysql","mysql",97.7458,7451609,3.7112,"debian","latest",82669716,1
"821","tifayuki/java","java",91.791,65760350,11.8644,"ubuntu","latest",241409152,1
"822","timfallmk/cassandra","cassandra",93.7703,56551739,7.1056,"ubuntu","latest",349329354,1
"823","timherman/mysql","mysql",99.2744,3139583,1.2022,"debian","latest",86511124,1
"824","timonier/mysql","mysql",98.1315,10463962,2.5216,"debian","latest",139671865,1
"825","tiredofit/mongo","mongo",91.3794,88430225,19.5846,"alpine","latest",219249781,1
"826","tklx/mysql","mysql",82.2302,91090848,36.4477,"debian","latest",99921862,1
"827","tlodge/mongo","mongo",95.0413,24538979,8.3539,"ubuntu","latest",184553688,1
"828","tmather99/nginx","nginx",98.8884,251006,1.6817,"alpine","latest",8441675,1
"829","tmobilecf/cassandra","cassandra",98.0571,8860841,3.0774,"debian","latest",146774405,1
"830","tomasoares/mongo","mongo",91.1302,36240895,13.096,"ubuntu","latest",137096915,1
"831","tomiti/nginx","nginx",98.1952,3598743,6.7059,"debian","latest",44600670,1
"832","tommylau/mysql","mysql",98.5075,8295631,2.13,"debian","latest",127029462,1
"833","toqoz/mysql","mysql",99.6069,4041153,0.7705,"debian","latest",187860319,1
"834","toru2220/nginx","nginx",98.2055,3585440,6.6598,"debian","latest",44690676,1
"835","trainingteam/nginx","nginx",98.9637,3426851,5.8795,"debian","latest",71414823,1
"836","travix/nginx","nginx",99.5389,51493,3.5249,"alpine","latest",2928533,1
"837","treenity/mysql","mysql",98.9329,5611349,2.1522,"debian","latest",131619164,1
"838","triply/mongodb","mongo",99.0024,4405375,1.8985,"debian","latest",108583387,1
"839","trollin/mysql","mysql",98.4988,8309268,2.1431,"debian","latest",129391993,1
"840","trumanz/cassandra","cassandra",92.8587,107988115,11.6081,"ubuntu","latest",640525436,1
"841","trurlmcbyte/nginx","nginx",99.8656,163887,0.1648,"alpine","latest",40140485,1
"842","tsuru/java","java",92.7508,52915629,8.73,"ubuntu","latest",389713575,1
"843","tsweb/mysql","mysql",71.2133,222119972,41.3828,"centos","latest",196747867,1
"844","tugboatqa/mongo","mongo",91.0194,67475107,11.1788,"ubuntu","latest",278776746,1
"845","tugboatqa/mysql","mysql",96.4001,27261134,4.1598,"debian","latest",232862157,1
"846","tutum/mongodb","mongo",95.2512,24541338,7.7891,"ubuntu","latest",203841527,1
"847","tutum/nginx","nginx",88.4104,24462939,133.2958,"ubuntu","latest",73695561,1
"848","twdevops/java","java",90.7587,83468504,12.6922,"ubuntu","latest",486369307,1
"849","twist/mongodb","mongo",94.8673,24599558,5.2787,"ubuntu","latest",142865502,1
"850","twistedogic/cassandra","cassandra",95.245,42597843,5.6849,"ubuntu","latest",320608834,1
"851","twistedogic/mongo","mongo",99.2473,4479888,1.6003,"debian","latest",131647518,1
"852","uanorman/mongo","mongo",92.6818,44225222,10.4958,"ubuntu","latest",213801464,1
"853","ubuntudeb/cassandra","cassandra",96.1723,42128115,4.7523,"ubuntu","latest",565002696,1
"854","ultra2/mongo","mongo",99.066,5265906,1.8867,"debian","latest",150417788,1
"855","umutcelikcomtr/mysql","mysql",99.3959,3717663,1.5742,"debian","latest",123590979,1
"856","unfall24/nginx","nginx",99.7825,138804,0.2806,"alpine","latest",16795077,1
"857","upclose/nginx","nginx",99.637,43739,2.5576,"alpine","latest",2874789,1
"858","uspgamedev/nginx","nginx",98.2084,3586974,6.6358,"debian","latest",44789085,1
"859","uwitech/mongodb","mongo",98.7828,6169694,2.1896,"debian","latest",132145063,1
"860","v3rg1l/mongodb","mongo",99.2484,4496405,1.6064,"debian","latest",131637774,1
"861","vaibhavtodi/java","java",92.6965,81197601,12.3787,"ubuntu","latest",495237838,1
"862","vaibhavtodi/mongodb","mongo",86.7735,72478282,21.3546,"ubuntu","latest",200781674,1
"863","varci/mysql","mysql",99.0143,5304420,2.037,"debian","latest",131622200,1
"864","vasanthkalli/cassandra","cassandra",98.2429,7439966,2.777,"debian","latest",132623122,1
"865","vase/mongo","mongo",98.7695,6120566,2.1896,"debian","latest",128556534,1
"866","velmuruganv/mysql","mysql",98.4963,7819765,2.7556,"debian","latest",143565129,1
"867","venosyd/mongo","mongo",91.2609,40285835,9.1034,"debian","latest",161233115,1
"868","vepo/mongo","mongo",99.959,74206,0.0635,"alpine","latest",52367136,1
"869","verbling/nginx","nginx",99.0645,3293149,5.6348,"debian","latest",101836979,1
"870","versates/java","java",99.8316,3548509,0.3204,"debian","latest",786892067,1
"871","vfang/cassandra","cassandra",98.7606,6809836,2.5751,"debian","latest",161658444,1
"872","vfiump/cassandra","cassandra",93.2325,73300921,13.4805,"ubuntu","latest",364704852,1
"873","vikingco/cassandra","cassandra",84.8983,173108885,21.5185,"centos","latest",429207334,1
"874","vivasaayi/mongodb","mongo",96.0636,31104963,5.9407,"ubuntu","latest",275700071,1
"875","vixlet/nginx","nginx",98.7047,3294702,42.9855,"debian","latest",54747574,1
"876","vkarassouloff/java","java",99.3519,5456410,1.1786,"debian","latest",275387639,1
"877","vkarassouloff/mysql","mysql",99.2796,3773812,2.2874,"debian","latest",91928652,1
"878","voidbridge/mongo","mongo",80.2993,247635715,50.4565,"centos","latest",262741622,1
"879","vovimayhem/cassandra","cassandra",99.5629,4275406,0.8922,"debian","latest",277984348,1
"880","vpecquerie/mysql","mysql",58.7223,613166189,86.6123,"debian","latest",317444805,1
"881","vrtsystems/nginx","nginx",98.6312,5440506,3.2128,"debian","latest",110635677,1
"882","vssware/mongodb","mongo",94.1805,62950878,14.5979,"centos","latest",280599019,1
"883","vukor/mysql","mysql",81.0244,117317797,24.7184,"centos","latest",160839685,1
"884","vyrphan/mongodb","mongo",93.8374,24552344,12.2898,"ubuntu","latest",144770460,1
"885","waitingkuo/mongodb","mongo",98.0313,18713469,5.3244,"ubuntu","latest",259687552,1
"886","waja/nginx","nginx",68.279,6464581,140.1424,"alpine","latest",4865927,1
"887","walkerlee/nginx","nginx",99.4973,48172,3.5253,"alpine","latest",2574064,1
"888","wangzldocker/mongodb","mongo",91.1524,37674501,12.8885,"ubuntu","latest",152631207,1
"889","washpost/mongodb","mongo",98.8781,6139340,2.1268,"debian","latest",157332608,1
"890","webfatorial/nginx","nginx",98.2544,3533402,6.6374,"debian","latest",44451085,1
"891","webhippie/java","java",99.531,1806772,0.5564,"alpine","latest",169355806,1
"892","webhippie/mongodb","mongo",92.5009,60082832,10.7526,"ubuntu","latest",223071004,1
"893","webratio/java","java",92.8835,62944561,9.9269,"ubuntu","latest",491253890,1
"894","webstream/mysql","mysql",98.2224,8273008,2.6111,"debian","latest",123943856,1
"895","wedeploy/java","java",99.691,1599938,0.5381,"alpine","latest",154939940,1
"896","wederbrand/java","java",91.4209,117184966,11.6001,"ubuntu","latest",633206850,1
"897","weldpua2008/nginx","nginx",98.964,3404795,5.9059,"debian","latest",71179894,1
"898","wen777/cassandra","cassandra",98.6852,7447053,2.5997,"debian","latest",168407925,1
"899","wenzizone/mysql","mysql",90.2531,49572252,25.0557,"ubuntu","latest",134238584,1
"900","whatwedo/nginx","nginx",99.2273,5861670,87.996,"ubuntu","latest",153296384,1
"901","wildme/nginx","nginx",98.1945,3618462,6.741,"debian","latest",44620740,1
"902","willfarrell/nginx","nginx",95.7773,1665823,8.7162,"alpine","latest",9710799,1
"903","withinboredom/mysql","mysql",88.8524,63838989,18.2707,"ubuntu","latest",180292668,1
"904","wodby/nginx","nginx",97.633,1828383,2.5445,"alpine","latest",31496851,1
"905","wolfdeng/mysql","mysql",99.9144,192544,0.0999,"alpine","latest",58604750,1
"906","wolferhua/mongo","mongo",98.6722,6585762,2.0069,"ubuntu","latest",168190578,1
"907","wplib/mysql","mysql",98.22,8296483,2.6199,"debian","latest",123847766,1
"908","wzshiming/mysql","mysql",98.22,8296435,2.6199,"debian","latest",123845235,1
"909","wzshiming/nginx","nginx",99.7943,52158,0.4533,"alpine","latest",6741082,1
"910","xalt/mysql","mysql",98.4647,6971955,3.0103,"debian","latest",131587236,1
"911","xaragroup/mysql","mysql",98.751,5639825,2.7632,"debian","latest",112574160,1
"912","xdevdavinci/mysql","mysql",99.0979,8134134,1.3169,"ubuntu","latest",239737361,1
"913","xemuliam/mongo","mongo",99.9304,203684,0.0823,"alpine","latest",96577552,1
"914","xiahoufeng/cassandra","cassandra",95.6114,45074172,11.7123,"centos","latest",255206844,1
"915","xiaobin/java","java",95.7923,7155171,8.708,"alpine","latest",58587851,1
"916","xjimmyshcn/mysql","mysql",99.0494,5335396,1.9255,"debian","latest",137831953,1
"917","xlight/mysql","mysql",98.7908,5306597,2.813,"debian","latest",109640323,1
"918","xomaod/cassandra","cassandra",99.3387,3969528,1.7394,"debian","latest",165891792,1
"919","xpxstar/mysql","mysql",98.9092,6453250,2.2146,"debian","latest",168014525,1
"920","yannickvh/nginx","nginx",98.1946,3600088,6.7084,"debian","latest",44600414,1
"921","yappabe/nginx","nginx",98.713,4205561,6.365,"debian","latest",76752520,1
"922","yaroslavderman/nginx","nginx",99.777,142745,0.2889,"alpine","latest",16765910,1
"923","yavende/nginx","nginx",98.8217,3815936,5.4929,"debian","latest",81716491,1
"924","yfix/mongo","mongo",91.3522,36619340,12.5909,"ubuntu","latest",151668183,1
"925","yfix/mysql","mysql",98.2203,8283601,2.615,"debian","latest",123881637,1
"926","yfix/nginx","nginx",88.669,44103090,23.7751,"ubuntu","latest",96861569,1
"927","yoda31217/java","java",95.8556,36545548,4.9088,"ubuntu","latest",502505249,1
"928","youpin/nginx","nginx",79.7567,36009333,66.1035,"ubuntu","latest",69954146,1
"929","yyqqing/mysql","mysql",98.5413,8331751,2.0781,"debian","latest",134026498,1
"930","zhicwu/cassandra","cassandra",85.742,219203925,22.3436,"ubuntu","latest",703037782,1
"931","zhouxiaoxiang/mysql","mysql",98.7391,6638077,2.349,"debian","latest",140184182,1
"932","zinobe/mongo","mongo",90.287,41874949,14.2798,"ubuntu","latest",153328352,1
"933","zjybb/nginx","nginx",97.8782,553106,3.0642,"alpine","latest",9816162,1
"934","zolotoykod/mysql","mysql",97.6504,12605471,3.9601,"debian","latest",124281151,1
"935","zoomulus/cassandra","cassandra",88.2986,54179873,17.2562,"ubuntu","latest",188769733,1
"936","zooniverse/nginx","nginx",83.1501,74090820,41.6328,"ubuntu","latest",151389630,1
"937","zroof/nginx","nginx",95.8373,1432345,10.3431,"alpine","latest",7912549,1
"938","zyrill/nginx","nginx",82.6584,6470444,49.3904,"alpine","latest",8328769,1
"939","zzyin/cassandra","cassandra",98.7393,6677579,2.3842,"debian","latest",175018563,1
